Match(start=985, end=995, dist=4, matched=bytearray(b'art report')) FIlename=processed/1.txt
Match(start=282, end=291, dist=5, matched=bytearray(b'an report')) FIlename=processed/102.txt
Match(start=806, end=818, dist=4, matched=bytearray(b'al \nA report')) FIlename=processed/108.txt
Match(start=375, end=389, dist=5, matched=bytearray(b'at the age of ')) FIlename=processed/110.txt
Match(start=6977, end=6986, dist=5, matched=bytearray(b' A report')) FIlename=processed/116.txt
Match(start=7271, end=7284, dist=4, matched=bytearray(b'at was report')) FIlename=processed/116.txt
Match(start=454, end=466, dist=5, matched=bytearray(b't their fort')) FIlename=processed/119.txt
Match(start=5343, end=5356, dist=5, matched=bytearray(b'at the realit')) FIlename=processed/130.txt
Match(start=283, end=296, dist=5, matched=bytearray(b'ation airport')) FIlename=processed/2.txt
Match(start=7092, end=7102, dist=5, matched=bytearray(b'at the ori')) FIlename=processed/208.txt
Match(start=774, end=782, dist=5, matched=bytearray(b't report')) FIlename=processed/212.txt
Match(start=1816, end=1828, dist=5, matched=bytearray(b't was report')) FIlename=processed/212.txt
Match(start=2480, end=2494, dist=5, matched=bytearray(b'at the age of ')) FIlename=processed/226.txt
Match(start=119, end=132, dist=4, matched=bytearray(b'at the Depart')) FIlename=processed/233.txt
Match(start=1195, end=1207, dist=5, matched=bytearray(b'ation Report')) FIlename=processed/238.txt
Match(start=883, end=897, dist=5, matched=bytearray(b'at the age of ')) FIlename=processed/241.txt
Match(start=400, end=412, dist=5, matched=bytearray(b't was report')) FIlename=processed/243.txt
Match(start=697, end=705, dist=5, matched=bytearray(b'a report')) FIlename=processed/246.txt
Match(start=328, end=340, dist=5, matched=bytearray(b't was report')) FIlename=processed/254.txt
Match(start=5589, end=5605, dist=5, matched=bytearray(b'ated in a report')) FIlename=processed/258.txt
Match(start=9708, end=9723, dist=5, matched=bytearray(b'ate the Propert')) FIlename=processed/258.txt
Match(start=510, end=522, dist=5, matched=bytearray(b'ad that part')) FIlename=processed/263.txt
Match(start=1817, end=1830, dist=5, matched=bytearray(b'at that point')) FIlename=processed/265.txt
Match(start=507, end=521, dist=5, matched=bytearray(b'at the age of ')) FIlename=processed/272.txt
Match(start=1463, end=1477, dist=5, matched=bytearray(b'at the age of ')) FIlename=processed/278.txt
Match(start=847, end=857, dist=5, matched=bytearray(b'ary report')) FIlename=processed/282.txt
Match(start=2922, end=2935, dist=5, matched=bytearray(b'at the memori')) FIlename=processed/282.txt
Match(start=3092, end=3106, dist=5, matched=bytearray(b'at the age of ')) FIlename=processed/282.txt
Match(start=1007, end=1021, dist=5, matched=bytearray(b'at the Oregon ')) FIlename=processed/285.txt
Match(start=1064, end=1075, dist=5, matched=bytearray(b'at the Port')) FIlename=processed/285.txt
Match(start=2385, end=2396, dist=5, matched=bytearray(b't therefore')) FIlename=processed/295.txt
Match(start=5993, end=6005, dist=5, matched=bytearray(b'as therefore')) FIlename=processed/295.txt
Match(start=387, end=401, dist=5, matched=bytearray(b'at the age of ')) FIlename=processed/303.txt
Match(start=559, end=573, dist=4, matched=bytearray(b'ard the report')) FIlename=processed/325.txt
Match(start=1818, end=1831, dist=5, matched=bytearray(b'tted a report')) FIlename=processed/325.txt
Match(start=1164, end=1175, dist=4, matched=bytearray(b't is report')) FIlename=processed/329.txt
Match(start=1249, end=1257, dist=5, matched=bytearray(b'a report')) FIlename=processed/329.txt
Match(start=2220, end=2228, dist=5, matched=bytearray(b't report')) FIlename=processed/33.txt
Match(start=138, end=148, dist=5, matched=bytearray(b'at the Art')) FIlename=processed/334.txt
